jd_tt,year,month,day,date_julian_cal,weekday,kind,umbral_mag,penumbral_mag,beta_deg,delta_t_s,umbral_duration_h,irish_site,moon_alt_deg,frac_umbral_visible,visible_from_ireland
1894026.94583,473,7,25,0473-07-25,3,total,1.0251,2.0129,0.4667,5843.0,3.22,,-90.0,0.0,False
1894204.90145,474,1,19,0474-01-19,6,total,1.3813,2.4959,0.2168,5833.0,3.8,Clonmacnoise,20.7,0.48,True
1894381.62927,474,7,15,0474-07-15,1,total,1.3947,2.3567,0.2794,5833.0,3.42,Clonmacnoise,13.8,1.0,True
1894558.8674,475,1,8,0475-01-08,3,partial umbral,0.1207,1.2421,0.8347,5824.0,1.41,Clonmacnoise,19.1,1.0,True
1894706.98052,475,6,5,0475-06-05,4,penumbral,-0.9643,0.0389,1.513,5824.0,0.0,,,0.0,False
1894736.3234,475,7,4,0475-07-04,5,partial umbral,0.0122,0.993,1.0233,5824.0,0.41,,-90.0,0.0,False
1894883.35217,475,11,28,0475-11-28,5,penumbral,-0.5475,0.5,1.2681,5824.0,0.0,,,0.0,False
1894912.96565,475,12,28,0475-12-28,0,penumbral,-1.0191,0.0593,1.4644,5824.0,0.0,,,0.0,False
1895061.35548,476,5,24,0476-05-24,1,partial umbral,0.3,1.3593,0.7813,5814.0,2.1,,-90.0,0.0,False
1895237.88348,476,11,17,0476-11-17,3,partial umbral,0.8037,1.8031,0.5938,5814.0,2.91,Clonmacnoise,15.4,0.48,True
1895415.44783,477,5,13,0477-05-13,5,total,1.6712,2.763,0.0786,5805.0,3.94,Clonmacnoise,14.7,0.52,True
1895592.53775,477,11,7,0477-11-07,1,total,1.7258,2.7182,0.0862,5805.0,3.52,Clonmacnoise,53.5,1.0,True
1895769.49071,478,5,2,0478-05-02,2,partial umbral,0.6103,1.6855,0.613,5795.0,2.9,Clonmacnoise,18.4,1.0,True
1895947.11955,478,10,27,0478-10-27,5,partial umbral,0.4135,1.4433,0.7752,5795.0,2.29,,-90.0,0.0,False
1896094.3514,479,3,23,0479-03-23,5,penumbral,-0.4458,0.5579,1.2515,5786.0,0.0,,,0.0,False
1896123.76791,479,4,22,0479-04-22,0,penumbral,-0.6719,0.3523,1.3306,5786.0,0.0,,,0.0,False
1896271.7754,479,9,17,0479-09-17,1,penumbral,-0.6777,0.423,1.2409,5786.0,0.0,,,0.0,False
1896301.4542,479,10,16,0479-10-16,2,penumbral,-1.018,0.0678,1.4441,5786.0,0.0,,,0.0,False
1896448.991,480,3,12,0480-03-12,3,partial umbral,0.9326,1.9069,0.5332,5776.0,3.05,,-90.0,0.0,False
1896625.77089,480,9,5,0480-09-05,5,partial umbral,0.6042,1.7103,0.5995,5776.0,2.93,Clonmacnoise,18.0,0.6,True
1896803.67198,481,3,2,0481-03-02,1,total,1.5475,2.5373,0.184,5767.0,3.52,Clonmacnoise,43.1,1.0,True
1896979.8783,481,8,25,0481-08-25,2,total,1.6894,2.7521,0.0798,5767.0,3.8,,-90.0,0.0,False
1897158.19929,482,2,19,0482-02-19,5,partial umbral,0.144,1.1869,0.8967,5757.0,1.44,,-90.0,0.0,False
